id,target,status,comp_treat,comp,status_comp,fert,light,biomass,root,ini_height,family_tar,family_comp
J661,Bidens_maximowicziana,native,alone,Non,alone,low,high light,22.818,3.541,8.5,Compositae,Non
J662,Bidens_maximowicziana,native,alone,Non,alone,low,high light,20.332,3.059,7,Compositae,Non
J663,Bidens_maximowicziana,native,alone,Non,alone,low,high light,19.542,2.585,4.8,Compositae,Non
J664,Bidens_maximowicziana,native,alone,Non,alone,low,high light,18.471,2.768,7.4,Compositae,Non
J665,Bidens_maximowicziana,native,alone,Non,alone,low,high light,22.115,3.41,6.2,Compositae,Non
J2,Alternanthera_philoxeroides,alien,inter,Solidago_canadensis,alien,high,low light,2.319,NA,8.4,Amaranthaceae,Compositae
J4,Alternanthera_philoxeroides,alien,inter,Paspalum_notatum,alien,high,low light,2.093,NA,11.7,Amaranthaceae,Poaceae
J6,Alternanthera_philoxeroides,alien,inter,Bidens_pilosa,alien,high,low light,1.576,NA,10.6,Amaranthaceae,Compositae
J22,Alternanthera_sessilis,native,inter,Alternanthera_philoxeroides,alien,high,low light,8.343,NA,2.6,Amaranthaceae,Amaranthaceae
J23,Alternanthera_sessilis,native,inter,Solidago_canadensis,alien,high,low light,5.321,NA,1.5,Amaranthaceae,Compositae
J25,Alternanthera_sessilis,native,inter,Paspalum_notatum,alien,high,low light,6.62,NA,6.9,Amaranthaceae,Poaceae
J27,Alternanthera_sessilis,native,inter,Bidens_pilosa,alien,high,low light,5.751,NA,2.8,Amaranthaceae,Compositae
J43,Solidago_canadensis,alien,inter,Alternanthera_philoxeroides,alien,high,low light,1.567,NA,2.3,Compositae,Amaranthaceae
J46,Solidago_canadensis,alien,inter,Paspalum_notatum,alien,high,low light,0.717,NA,1.7,Compositae,Poaceae
J48,Solidago_canadensis,alien,inter,Bidens_pilosa,alien,high,low light,1.102,NA,1.8,Compositae,Compositae
J64,Solidago_decurrens,native,inter,Alternanthera_philoxeroides,alien,high,low light,0.282,NA,6.3,Compositae,Amaranthaceae
J66,Solidago_decurrens,native,inter,Solidago_canadensis,alien,high,low light,0.221,NA,4.2,Compositae,Compositae
J67,Solidago_decurrens,native,inter,Paspalum_notatum,alien,high,low light,0.301,NA,5.6,Compositae,Poaceae
J69,Solidago_decurrens,native,inter,Bidens_pilosa,alien,high,low light,0.444,NA,1.3,Compositae,Compositae
J85,Paspalum_notatum,alien,inter,Alternanthera_philoxeroides,alien,high,low light,4.099,NA,8.3,Poaceae,Amaranthaceae
J87,Paspalum_notatum,alien,inter,Solidago_canadensis,alien,high,low light,1.858,NA,7.2,Poaceae,Compositae
J90,Paspalum_notatum,alien,inter,Bidens_pilosa,alien,high,low light,2.749,NA,6.1,Poaceae,Compositae
J106,Paspalum_orbiculare,native,inter,Alternanthera_philoxeroides,alien,high,low light,2.521,NA,14,Poaceae,Amaranthaceae
J108,Paspalum_orbiculare,native,inter,Solidago_canadensis,alien,high,low light,1.034,NA,14.5,Poaceae,Compositae
J110,Paspalum_orbiculare,native,inter,Paspalum_notatum,alien,high,low light,1.796,NA,17.6,Poaceae,Poaceae
J111,Paspalum_orbiculare,native,inter,Bidens_pilosa,alien,high,low light,3.041,NA,14.2,Poaceae,Compositae
J127,Bidens_pilosa,alien,inter,Alternanthera_philoxeroides,alien,high,low light,5.14,NA,5.1,Compositae,Amaranthaceae
J129,Bidens_pilosa,alien,inter,Solidago_canadensis,alien,high,low light,4.592,NA,5.3,Compositae,Compositae
J131,Bidens_pilosa,alien,inter,Paspalum_notatum,alien,high,low light,2.882,NA,5.1,Compositae,Poaceae
J148,Bidens_maximowicziana,native,inter,Alternanthera_philoxeroides,alien,high,low light,3.599,NA,6.4,Compositae,Amaranthaceae
J150,Bidens_maximowicziana,native,inter,Solidago_canadensis,alien,high,low light,1.902,NA,9.2,Compositae,Compositae
J152,Bidens_maximowicziana,native,inter,Paspalum_notatum,alien,high,low light,3.799,NA,5,Compositae,Poaceae
J170,Alternanthera_philoxeroides,alien,inter,Solidago_canadensis,alien,low,low light,3.095,NA,9.9,Amaranthaceae,Compositae
J172,Alternanthera_philoxeroides,alien,inter,Paspalum_notatum,alien,low,low light,1.819,NA,8.5,Amaranthaceae,Poaceae
J174,Alternanthera_philoxeroides,alien,inter,Bidens_pilosa,alien,low,low light,2.396,NA,12.1,Amaranthaceae,Compositae
J190,Alternanthera_sessilis,native,inter,Alternanthera_philoxeroides,alien,low,low light,8.302,NA,4.4,Amaranthaceae,Amaranthaceae
J191,Alternanthera_sessilis,native,inter,Solidago_canadensis,alien,low,low light,6.386,NA,5,Amaranthaceae,Compositae
J193,Alternanthera_sessilis,native,inter,Paspalum_notatum,alien,low,low light,7.145,NA,6.4,Amaranthaceae,Poaceae
J195,Alternanthera_sessilis,native,inter,Bidens_pilosa,alien,low,low light,5.765,NA,6.3,Amaranthaceae,Compositae
